fecha,fallecidos,casos_dx
2020-01-01,0,35
2020-01-02,0,14
2020-01-03,0,3
2020-01-04,0,7
2020-01-05,0,5
2020-01-06,0,9
2020-01-07,0,4
2020-01-08,0,3
2020-01-09,0,0
2020-01-10,0,1
2020-01-11,0,0
2020-01-12,0,1
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,2
2020-01-16,0,0
2020-01-17,0,2
2020-01-18,0,1
2020-01-19,0,10
2020-01-20,0,1
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,1
2020-01-27,0,0
2020-01-28,0,1
2020-01-29,0,1
2020-01-30,0,3
2020-01-31,0,1
2020-02-01,0,0
2020-02-02,0,2
2020-02-03,0,0
2020-02-04,0,1
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,1,0
2020-02-10,0,1
2020-02-11,0,1
2020-02-12,0,0
2020-02-13,0,1
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,1
2020-02-19,0,1
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,1
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,1
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,7
2020-03-07,1,1
2020-03-08,0,2
2020-03-09,0,6
2020-03-10,0,9
2020-03-11,1,4
2020-03-12,0,10
2020-03-13,1,6
2020-03-14,0,7
2020-03-15,0,11
2020-03-16,0,10
2020-03-17,0,18
2020-03-18,1,29
2020-03-19,0,22
2020-03-20,0,30
2020-03-21,1,62
2020-03-22,0,54
2020-03-23,0,33
2020-03-24,3,105
2020-03-25,4,116
2020-03-26,4,110
2020-03-27,2,82
2020-03-28,2,69
2020-03-29,3,109
2020-03-30,3,84
2020-03-31,3,90
2020-04-01,7,121
2020-04-02,5,144
2020-04-03,3,107
2020-04-04,3,105
2020-04-05,9,72
2020-04-06,7,105
2020-04-07,6,76
2020-04-08,11,102
2020-04-09,8,100
2020-04-10,5,127
2020-04-11,5,72
2020-04-12,5,71
2020-04-13,7,92
2020-04-14,9,128
2020-04-15,8,130
2020-04-16,8,108
2020-04-17,6,88
2020-04-18,4,122
2020-04-19,9,62
2020-04-20,7,98
2020-04-21,10,160
2020-04-22,11,122
2020-04-23,10,138
2020-04-24,13,191
2020-04-25,12,168
2020-04-26,6,93
2020-04-27,13,127
2020-04-28,12,126
2020-04-29,10,149
2020-04-30,9,142
2020-05-01,20,140
2020-05-02,11,101
2020-05-03,9,105
2020-05-04,7,121
2020-05-05,6,183
2020-05-06,9,205
2020-05-07,11,239
2020-05-08,8,201
2020-05-09,10,251
2020-05-10,12,201
2020-05-11,15,286
2020-05-12,5,291
2020-05-13,13,328
2020-05-14,13,308
2020-05-15,17,396
2020-05-16,10,345
2020-05-17,13,243
2020-05-18,16,391
2020-05-19,12,532
2020-05-20,15,616
2020-05-21,17,752
2020-05-22,17,814
2020-05-23,12,618
2020-05-24,15,506
2020-05-25,15,552
2020-05-26,14,652
2020-05-27,17,718
2020-05-28,19,769
2020-05-29,24,847
2020-05-30,19,694
2020-05-31,16,549
2020-06-01,29,848
2020-06-02,20,927
2020-06-03,33,935
2020-06-04,31,881
2020-06-05,28,970
2020-06-06,39,1109
2020-06-07,31,574
2020-06-08,46,1037
2020-06-09,21,1360
2020-06-10,37,1355
2020-06-11,32,1546
2020-06-12,36,1644
2020-06-13,27,1499
2020-06-14,52,1056
2020-06-15,45,1289
2020-06-16,45,1668
2020-06-17,56,1938
2020-06-18,49,2068
2020-06-19,48,2097
2020-06-20,40,2408
2020-06-21,60,1469
2020-06-22,56,2244
2020-06-23,64,2642
2020-06-24,54,2522
2020-06-25,59,2959
2020-06-26,71,3027
2020-06-27,78,2348
2020-06-28,67,1808
2020-06-29,53,2278
2020-06-30,76,2831
2020-07-01,98,2831
2020-07-02,93,2890
2020-07-03,82,3407
2020-07-04,96,3333
2020-07-05,119,1973
2020-07-06,80,2957
2020-07-07,105,3464
2020-07-08,138,4154
2020-07-09,108,3641
2020-07-10,138,3606
2020-07-11,130,3331
2020-07-12,117,2156
2020-07-13,132,3608
2020-07-14,159,4200
2020-07-15,158,4227
2020-07-16,141,4571
2020-07-17,152,5038
2020-07-18,162,4629
2020-07-19,163,3073
2020-07-20,159,4826
2020-07-21,177,5742
2020-07-22,174,5926
2020-07-23,141,5981
